flu_speech_rate,flu_pause_ratio,lex_TTR,lex_MSTTR,lex_A1,lex_A2,lex_B1,lex_B2,lex_C1,pro_0%-50%,pro_50%-70%,pro_70%-85%,pro_85%-95%,pro_95%-100%,gra_ratio_error_sentences,gra_total_errors,gra_error_rate
2.290862291,0.078249678,0.438202247,0.66,65.77181208,12.08053691,13.42281879,8.053691275,0.67114094,3.93258427,7.865168539,10.6741573,18.53932584,58.98876404,0.333333333,3,0.016853933
1.620814673,0.077628492,0.493421053,0.726666667,72.0,10.4,6.4,8.8,2.4,17.10526316,9.210526316,11.84210526,17.76315789,44.07894737,0.571428571,4,0.026315789
2.16006216,0.098679099,0.435251799,0.756,64.19753086,9.053497942,16.87242798,6.58436214,3.29218107,13.30935252,10.79136691,11.8705036,19.0647482,44.96402878,0.214285714,4,0.014388489
1.753187614,0.190801457,0.506493506,0.72,61.98347107,13.2231405,17.3553719,5.785123967,1.652892562,18.18181818,12.98701299,14.28571429,13.63636364,40.90909091,0.133333333,2,0.012987013
2.177068215,0.193862741,0.49047619,0.74,71.83908046,10.34482759,12.64367816,3.448275862,1.724137931,13.33333333,12.85714286,10.95238095,21.9047619,40.95238095,0.230769231,4,0.019047619
1.045958796,0.055784469,0.696969697,0.76,73.68421053,10.52631579,14.03508772,1.754385965,0.0,37.87878788,19.6969697,16.66666667,13.63636364,12.12121212,0.0,0,0.0
1.564639155,0.081752396,0.46875,0.713333333,67.83216783,14.68531469,8.391608392,7.692307692,1.398601399,22.5,10.625,11.25,18.125,37.5,0.5,5,0.03125
2.188476999,0.095131755,0.663265306,0.8,63.38028169,12.67605634,8.450704225,15.49295775,0.0,4.081632653,1.020408163,8.163265306,8.163265306,78.57142857,0.0,0,0.0
1.991668836,0.085915126,0.535947712,0.713333333,62.18487395,19.32773109,10.08403361,6.722689076,1.680672269,11.11111111,14.37908497,15.03267974,21.56862745,37.90849673,0.111111111,1,0.006535948
2.013356904,0.084462777,0.482926829,0.735,73.11827957,10.21505376,12.3655914,4.301075269,0.0,18.04878049,12.68292683,14.63414634,18.04878049,36.58536585,0.625,8,0.03902439
2.456968351,0.01332593,0.435028249,0.753333333,62.16216216,13.51351351,20.27027027,3.378378378,0.675675676,19.7740113,14.12429379,6.214689266,16.38418079,43.50282486,1.0,3,0.016949153
1.79758936,0.036990856,0.485549133,0.74,72.02797203,13.98601399,8.391608392,4.895104895,0.699300699,18.49710983,11.56069364,15.02890173,20.23121387,34.68208092,0.5,11,0.063583815
1.467293907,0.178091398,0.572519084,0.79,63.15789474,10.52631579,15.78947368,10.52631579,0.0,35.11450382,11.45038168,13.74045802,14.50381679,25.19083969,0.076923077,1,0.007633588
1.788685524,0.068219634,0.511627907,0.726666667,63.38028169,11.26760563,15.49295775,6.338028169,3.521126761,19.76744186,12.20930233,19.18604651,21.51162791,27.3255814,0.333333333,4,0.023255814
2.104046243,0.118034682,0.527472527,0.766666667,59.72222222,11.80555556,14.58333333,11.11111111,2.777777778,19.23076923,13.73626374,16.48351648,15.93406593,34.61538462,0.2,2,0.010989011
1.205706397,0.244270594,0.534351145,0.75,73.07692308,11.53846154,8.653846154,6.730769231,0.0,16.03053435,11.45038168,8.396946565,19.08396947,45.03816794,0.0,0,0.0
0.9454349,0.1408698,0.642857143,0.76,70.0,11.66666667,10.0,5.0,3.333333333,20.0,15.71428571,12.85714286,15.71428571,35.71428571,0.0,0,0.0
2.020481594,0.097425962,0.595890411,0.8,69.23076923,9.401709402,12.82051282,7.692307692,0.854700855,13.69863014,18.49315068,14.38356164,22.60273973,30.82191781,0.111111111,1,0.006849315
1.248688353,0.177964323,0.571428571,0.72,62.06896552,10.34482759,18.3908046,6.896551724,2.298850575,26.05042017,10.92436975,8.403361345,19.32773109,35.29411765,0.0,0,0.0
1.12716763,0.097398844,0.717948718,0.8,71.42857143,11.11111111,12.6984127,3.174603175,1.587301587,19.23076923,11.53846154,15.38461538,19.23076923,34.61538462,0.5,1,0.012820513
1.741908885,0.155844156,0.538461538,0.773333333,69.71830986,13.38028169,13.38028169,2.816901408,0.704225352,31.95266272,22.4852071,11.83431953,15.97633136,17.75147929,0.166666667,2,0.01183432
1.144549384,0.112694093,0.503496503,0.74,65.11627907,18.60465116,10.07751938,5.426356589,0.775193798,32.86713287,12.58741259,11.88811189,16.08391608,26.57342657,0.571428571,5,0.034965035
1.701637666,0.10542477,0.609022556,0.79,68.18181818,7.272727273,13.63636364,10.0,0.909090909,33.83458647,16.54135338,16.54135338,11.27819549,21.80451128,0.0,0,0.0
2.139979859,0.136455186,0.547058824,0.78,73.94366197,7.746478873,9.154929577,7.746478873,1.408450704,19.41176471,10.58823529,13.52941176,20.0,36.47058824,0.0,0,0.0
2.191761759,0.051489006,0.39047619,0.733333333,70.84870849,12.54612546,11.80811808,4.42804428,0.36900369,14.28571429,8.888888889,13.65079365,17.14285714,46.03174603,0.555555556,8,0.025396825
1.728212703,0.11225997,0.760683761,0.86,58.16326531,15.30612245,11.2244898,13.26530612,2.040816327,18.8034188,14.52991453,7.692307692,18.8034188,40.17094017,0.333333333,5,0.042735043
1.838934686,0.164235891,0.543103448,0.71,64.77272727,12.5,18.18181818,4.545454545,0.0,7.75862069,12.93103448,7.75862069,18.96551724,52.5862069,0.0,0,0.0
1.15255658,0.119865884,0.672727273,0.8,75.82417582,5.494505495,15.38461538,3.296703297,0.0,17.27272727,13.63636364,10.0,21.81818182,37.27272727,0.0,0,0.0
1.964912281,0.084736842,0.558035714,0.76,63.78378378,9.72972973,16.21621622,9.189189189,1.081081081,14.73214286,9.375,14.73214286,20.98214286,40.17857143,0.625,5,0.022321429
1.416375631,0.064027939,0.616438356,0.66,64.28571429,14.28571429,14.28571429,7.142857143,0.0,10.95890411,4.109589041,16.43835616,27.39726027,41.09589041,0.4,2,0.02739726
1.53899965,0.005596362,0.471590909,0.72,64.82758621,13.79310345,15.17241379,4.827586207,1.379310345,20.45454545,10.79545455,11.93181818,21.59090909,35.22727273,1.0,6,0.034090909
1.874821785,0.142999715,0.650190114,0.868,44.79166667,15.625,18.22916667,19.79166667,1.5625,6.08365019,9.505703422,6.08365019,11.78707224,66.53992395,0.166666667,2,0.007604563
2.326196141,0.133227597,0.625,0.833333333,60.58394161,18.24817518,12.40875912,7.299270073,1.459854015,10.22727273,8.522727273,13.63636364,18.75,48.86363636,0.090909091,1,0.005681818
2.358490566,0.188679245,0.68115942,0.82,56.52173913,21.73913043,11.30434783,10.43478261,0.0,18.57142857,6.428571429,13.57142857,17.14285714,44.28571429,0.090909091,1,0.007142857
2.2172949,0.136733186,0.725,0.83,51.68539326,22.47191011,13.48314607,10.11235955,2.247191011,10.0,5.0,10.83333333,8.333333333,65.83333333,0.0,0,0.0
1.764090949,0.168830037,0.538271605,0.85,59.1503268,14.70588235,14.37908497,9.803921569,1.960784314,8.888888889,8.395061728,7.901234568,18.02469136,56.79012346,0.086956522,2,0.004938272
2.407786885,0.151127049,0.657754011,0.833333333,58.78378378,18.91891892,11.48648649,10.13513514,0.675675676,13.82978723,9.042553191,7.978723404,13.82978723,55.31914894,0.181818182,2,0.010638298
1.921223801,0.150264996,0.589341693,0.87,60.16260163,13.82113821,17.4796748,8.130081301,0.406504065,10.03134796,5.329153605,8.150470219,18.49529781,57.99373041,0.0,0,0.0
1.559143085,0.1092014,0.533464567,0.872,59.10290237,11.34564644,14.77572559,10.81794195,3.957783641,12.99212598,7.874015748,9.645669291,21.25984252,48.22834646,1.0,4,0.007874016
2.382392981,0.175313871,0.558730159,0.836666667,66.53543307,12.20472441,13.38582677,7.874015748,0.0,3.492063492,3.80952381,6.031746032,11.11111111,75.55555556,0.0,0,0.0
1.920546142,0.135877611,0.463519313,0.802222222,67.97900262,8.661417323,12.5984252,7.611548556,3.149606299,9.850107066,6.423982869,11.13490364,17.77301927,54.81798715,0.136363636,4,0.00856531
1.950653733,0.146562632,0.589189189,0.793333333,60.13071895,20.91503268,13.07189542,5.882352941,0.0,7.567567568,5.945945946,5.405405405,12.43243243,68.64864865,0.076923077,1,0.005405405
2.000250815,0.160772511,0.547169811,0.883333333,56.89655172,17.67241379,12.06896552,12.06896552,1.293103448,5.956112853,5.956112853,7.210031348,14.10658307,66.77115987,0.0,0,0.0
1.734620887,0.11462804,0.538860104,0.773333333,67.08860759,15.82278481,12.02531646,5.063291139,0.0,12.88659794,12.88659794,11.34020619,19.58762887,43.29896907,0.214285714,3,0.015463918
1.76217765,0.154512894,0.585365854,0.865,60.8040201,16.58291457,12.56281407,9.547738693,0.502512563,6.097560976,8.130081301,7.317073171,13.00813008,65.44715447,0.133333333,2,0.008130081
2.254605444,0.188067088,0.707317073,0.9,64.44444444,15.55555556,9.62962963,10.37037037,0.0,4.87804878,2.43902439,6.707317073,12.19512195,73.7804878,0.0,0,0.0
1.973922492,0.191053966,0.674311927,0.88,57.22543353,12.71676301,14.45086705,13.87283237,1.734104046,12.8440367,12.3853211,9.633027523,18.34862385,46.78899083,0.133333333,2,0.009174312
2.164338744,0.097017743,0.427325581,0.77,71.62629758,11.07266436,15.57093426,1.384083045,0.346020761,8.720930233,11.04651163,10.1744186,18.31395349,51.74418605,0.12,3,0.00872093
2.447306792,0.207494145,0.650717703,0.91,62.65822785,15.18987342,8.860759494,10.12658228,3.164556962,23.92344498,8.133971292,9.090909091,16.26794258,42.58373206,0.294117647,6,0.028708134
2.02970297,0.145214521,0.666666667,0.72,57.73195876,20.6185567,17.5257732,4.12371134,0.0,7.317073171,9.756097561,4.87804878,11.38211382,66.66666667,0.125,1,0.008130081
2.11006077,0.007258609,0.396,0.728,68.7804878,11.70731707,11.46341463,5.12195122,2.926829268,11.6,8.8,12.4,15.6,51.6,0.5,15,0.03
1.952894995,0.173503435,0.663316583,0.833333333,45.28301887,22.01257862,13.83647799,17.61006289,1.257861635,5.527638191,7.537688442,5.025125628,15.07537688,66.83417085,0.181818182,2,0.010050251
1.957494407,0.126957494,0.625,0.856,64.70588235,12.66968326,12.21719457,8.14479638,2.262443439,7.142857143,8.571428571,9.642857143,20.71428571,53.92857143,0.0,0,0.0
